Product quality,Product image,Price,Sales volume
0.17,1.19,US$6.50 ,"300,968"
0.78,1.79,US$7.00 ,"372,024"
0.15,0.51,US$7.00 ,"379,822"
0.17,0.5,US$6.85 ,"484,027"
0.16,0.63,US$7.80 ,"322,067"
0.36,1.82,US$7.45 ,"572,790"
0.33,1.37,US$7.50 ,"519,112"
0.78,1.69,US$6.50 ,"544,703"
0.22,0.8,US$6.90 ,"300,968"
0.56,1.13,US$7.00 ,"588,269"
0.15,0.53,US$7.50 ,"265,861"
0.22,0.94,US$6.70 ,"625,980"
0.16,1.02,US$7.00 ,"313,390"
0.75,1.12,US$7.50 ,"548,275"
0.14,0.63,US$7.00 ,"338,922"
0.52,0.86,US$7.45 ,"498,585"
0.47,0.86,US$7.50 ,"547,496"
0.62,0.91,US$7.00 ,"664,229"
0.28,0.8,US$6.90 ,"300,968"
0.31,0.9,US$7.80 ,"402,353"
0.19,0.92,US$6.50 ,"628,782"
0.12,0.87,US$7.50 ,"255,572"
0.33,0.87,US$7.50 ,"428,256"
0.12,0.64,US$6.75 ,"366,549"
0.29,0.66,US$7.60 ,"464,713"
0.7,0.66,US$7.00 ,"488,888"
0.33,0.9,US$6.60 ,"676,111"
0.22,0.76,US$7.90 ,"351,968"
0.22,0.76,US$7.80 ,"526,102"
0.14,0.84,US$5.50 ,"501,968"
0.09,0.65,US$8.50 ,"212,038"
0.22,0.65,5.8,"311,968"
0.19,0.63,6.8,"569,671"
0.22,0.96,7,628381
0.22,0.49,7.1,"451,000"
